Make,Model,Body Style,Sales Count,Acceleration (sec),TopSpeed (km/h),Range (km),Efficiency (Wh/km),FastChargeSpeed (km/h),Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceUS ($)
VOLKSWAGEN,ID.4,SUV,2839,8.5,160,410,188,500,Rear Wheel Drive,5,0,40800.00," 49,776.00 "
TESLA,MODEL Y,SUV,26194,5.1,217,450,169,750,All Wheel Drive,7,"€59,965",54000.00," 65,880.00 "
TESLA,MODEL X,SUV,5002,3.9,250,475,189,710,All Wheel Drive,7,"€95,990",90980.00," 110,995.60 "
TESLA,MODEL S,Sedan,7542,3.2,250,555,162,830,All Wheel Drive,5,"€86,990",83980.00," 102,455.60 "
TESLA,MODEL 3,Sedan,26766,5.6,225,340,150,570,Rear Wheel Drive,5,"€43,560",40990.00," 50,007.80 "
NISSAN,LEAF,Hatchbag,13093,7.9,144,220,164,230,Front Wheel Drive,5,"€29,990",25995.00," 31,713.90 "
KIA,NIRO,Hatchbag,1775,7.8,167,370,173,350,Front Wheel Drive,5,"€39,090",32445.00," 39,582.90 "
KIA,EV6,SUV,1561,8.5,185,320,181,740,Rear Wheel Drive,5,"€44,990",40985.00," 50,001.70 "
HYUNDAI,KONA ELECTRIC,SUV,557,7.9,167,395,162,370,Front Wheel Drive,5,"41,850",0.00," 44,779.50 "
HYUNDAI,IONIQ 5,SUV,1464,8.5,185,310,187,720,Rear Wheel Drive,5,"€41,900",36995.00," 45,133.90 "
FORD,MUSTANG MACH-E,SUV,2431,6.9,180,345,197,380,Rear Wheel Drive,5,"€46,900",41330.00," 50,422.60 "
AUDI,E-TRON,SUV,952,5.7,200,365,237,590,All Wheel Drive,5,0,71500.00," 87,230.00 "
