Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,LADWP - Truesdale Center,11797 Truesdale St,,Sun Valley,CA,91352,,,E,,Private,Fleet use only,,,,,,57,2,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,GPS,34.2483191527193,-118.3879713743439,2023-09-14,1517,2023-09-14 14:01:49 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - West LA District Office,1394 S Sepulveda Blvd,,Los Angeles,CA,90024,,,E,,Private,,,,,,,4,,,Non-Networked,,200-8,34.052542,-118.448504,2023-01-10,1519,2023-02-15 22:45:41 UTC,LG,,,2020-02-28,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,Free,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - John Ferraro Building,111 N Hope St,Across Hope,Los Angeles,CA,90012,,,E,,Private,For fleet and employee use only,,,,,,338,12,,Non-Networked,,GPS,34.059133,-118.248589,2023-09-14,1525,2023-09-14 14:01:49 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,LADWP - Haynes Power Plant,6801 E 2nd St,,Long Beach,CA,90803,,,E,,Private,Fleet use only,,,,,,19,1,,Non-Networked,,GPS,33.759802,-118.096665,2023-01-10,1531,2023-02-15 22:45:41 UTC,LG,,,2018-05-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Harbor Generating Station,161 N Island Ave,At B St,Wilmington,CA,90744,,,E,,Private,Fleet use only,,,,,,10,,,Non-Networked,,200-8,33.770508,-118.265628,2023-01-10,1552,2023-02-15 22:45:41 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Sylmar West,13201 Sepulveda Blvd,,Sylmar,CA,91342,,,E,,Private - Government only,Fleet use only,,,,,,2,,,Non-Networked,,200-8,34.30309,-118.480505,2023-01-10,1556,2023-02-15 22:45:41 UTC,LG,,,2016-01-01,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - EV Service Center,1630 N Main St,,Los Angeles,CA,90012,,,E,,Private,Fleet and employee use only,,,,,,46,1,,Non-Networked,,200-8,34.066801,-118.227605,2023-01-10,1572,2023-02-15 22:45:41 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,,Los Angeles,CA,90016,,,E,,Private,Fleet use only,,,,,,13,,,Non-Networked,,200-8,34.036777,-118.368841,2023-01-10,1573,2023-02-15 22:45:41 UTC,LG,,,2019-04-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Palmetto Center,1212 Palmetto St,,Los Angeles,CA,90013,,,E,,Private,Fleet use only,,,,,,27,,,Non-Networked,,GPS,34.039736,-118.236065,2023-09-14,1589,2023-09-14 14:01:49 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Scattergood Generating Facility,12700 Vista del Mar,,Playa del Rey,CA,90293,,,E,,Private,Fleet use only,,,,,,21,,,Non-Networked,,200-9,33.917593,-118.425334,2023-09-14,21609,2023-09-14 14:01:49 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Los Angeles Department of Public Works - Baldwin Park Construction Permit Office,14747 E Ramona Blvd,,Baldwin Park,CA,91706,,,E,,Private - Government only,,,,,,,3,,,Non-Networked,,200-9,34.089085,-117.95463,2022-08-10,21612,2023-08-08 16:13:43 UTC,LG,,,2015-12-31,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
